The Ben Doran Hotel, Tyndrum
The Knockomie Hotel, Forres
The Golf View Hotel & Spa, Nairn
The Kingshouse Hotel, Glencoe
The Kenmore Hotel, Kenmore
The Creggans Inn, Strachur
The Inn on Loch Lomond, Inverbeg
The Glen Lui Hotel, Ballater
The Machrie Hotel, Isle of Islay
The Kildrummy Inn, Alford
The Shieldhill Castle Hotel, Biggar
The Galley of Lorne Inn, Ardfern
The Piersland House Hotel, Troon
The Knockinaam Lodge Hotel, Portpatrick
The Glenturret Estate, Crieff
The Park Hotel, Peebles
The Bridge of Orchy Hotel, Bridge of Orchy
The George Hotel, Inveraray
The Craigdarroch Inn, Moniaive
The Corriegour Lodge Hotel, Spean Bridge
The Cally Palace Hotel & Golf Course, Gatehouse of Fleet
The Dunalastair Hotel Suites, Kinloch Rannoch
The Crossbasket Castle, High Blantyre
The Inver Lodge Hotel, Lochinver
The Finglen House, Glasgow
The Fonab Castle Hotel & Spa, Pitlochry
The Torridon, Torridon
The Fife Arms Hotel, Braemar
The Marcliffe Hotel & Spa, Aberdeen
The Scotsman Hotel, Edinburgh
The Dunstane Houses, Edinburgh
The Glasshouse Hotel, Edinburgh
The Old Course Hotel, Golf Resort & Spa, St Andrews
The Machrie Hotel & Golf Links, Isle of Islay
The Marine Hotel, Troon
The Sheraton Grand Hotel & Spa, Edinburgh
The Balmoral Hotel, Edinburgh
The Grand Central Hotel, Glasgow
The Glasgow Malmaison, Glasgow
The Principal Edinburgh Charlotte Square, Edinburgh
The Witchery by the Castle, Edinburgh
The Glenfinnan House Hotel, Glenfinnan
The Craigellachie Hotel, Craigellachie
The Cross Keys Inn, Kippen
The Prestonfield House Hotel, Edinburgh
The Scores Hotel, St Andrews
The Fife Lodge Hotel, Banff
The Lovat Loch Ness, Fort Augustus
The Airds Hotel & Restaurant, Port Appin
The Ceilidh Place, Ullapool
The Glenmorangie House, Tain
